尼罗口孵非鲫
莫三比克口孵非鲫
祕鲁鳀
金鳍锯鳃石鲈
鲯鳅
棘鲯鳅
星点宽尾鳞鲀
印度丝鰺
血点九棘鲈
岩石斑鱼
红点石斑鱼
黑缘石斑鱼
