口孵非鲫属(Oreochromi,尼罗口孵非鲫
口孵非鲫属(Oreochromi,莫三比克口孵非鲫
鳀属(Engrauli,祕鲁鳀
锯鳃石鲈属(Orthopristi,金鳍锯鳃石鲈
鬼头刀属(Coryphaen,鲯鳅
鬼头刀属(Coryphaen,棘鲯鳅
宽尾鳞鲀属(Abaliste,星点宽尾鳞鲀
丝鰺属(Alecti,印度丝鰺
九刺鮨属(Cephalopholi,血点九棘鲈
下美鮨属(Epinephelu,岩石斑鱼
下美鮨属(Epinephelu,红点石斑鱼
下美鮨属(Epinephelu,黑缘石斑鱼
